Stock_Code,Stock_Name,Weight,Shares,ETF,Holding_Source
4441,振大環球,0.0,4000,00982A,official
1519,華城,0.0,660,00982A,official
8358,金居,0.0,1000,00982A,official
3706,神達,0.0,1400,00982A,official
2886,兆豐金,0.0,1000,00982A,official
2881,富邦金,0.0,250,00982A,official
2330,台灣積體,12.994,5000000,00991A,official
2383,台光電子,9.833,1430000,00991A,official
2408,南亞科技,7.944,14000000,00991A,official
2059,川湖科技,7.444,500000,00991A,official
3037,欣興電子,6.064,5000000,00991A,official
2327,國巨股份,5.069,7700000,00991A,official
2454,聯發科技,5.043,1150000,00991A,official
6223,旺矽科技,4.522,720000,00991A,official
2345,智邦科技,4.463,1800000,00991A,official
6669,緯穎科技,4.301,600000,00991A,official
8046,南亞電路,4.207,3000000,00991A,official
3017,奇鋐科技,4.093,1200000,00991A,official
6274,台燿科技,3.985,2300000,00991A,official
3189,景碩科技,3.528,3600000,00991A,official
7769,鴻勁精密,2.924,400000,00991A,official
8299,群聯電子,2.258,1000000,00991A,official
5274,信驊科技,2.221,120500,00991A,official
3026,禾伸堂企,2.014,2700000,00991A,official
3711,日月光投,1.931,2900000,00991A,official
3081,聯亞光電,1.752,580000,00991A,official
3653,健策精密,1.33,230000,00991A,official
3008,大立光電,0.005,1000,00991A,official
2382,廣達電腦,0.003,9000,00991A,official
2360,致茂電子,0.003,1000,00991A,official
2317,鴻海精密,0.002,9000,00991A,official
3665,貿聯-KY,0.002,1000,00991A,official
2603,長榮海運,0.002,9000,00991A,official
2308,台達電子,0.002,1000,00991A,official
3231,緯創資通,0.002,9000,00991A,official
5347,世界先進,0.002,9000,00991A,official
2404,漢唐集成,0.001,1000,00991A,official
2881,富邦金融,0.001,9000,00991A,official
2357,華碩電腦,0.001,1000,00991A,official
2882,國泰金融,0.001,9000,00991A,official
2379,瑞昱半導,0.001,1000,00991A,official
2885,元大金融,0.001,9000,00991A,official
2891,中國信託,0.001,9000,00991A,official
3044,健鼎科技,0.001,1000,00991A,official
2886,兆豐金融,0.0,9000,00991A,official
2887,台新新光,0.0,9000,00991A,official
2890,永豐金融,0.0,9000,00991A,official
2883,凱基金融,0.0,9000,00991A,official
2884,玉山金融,0.0,9000,00991A,official
2880,華南金融,0.0,9090,00991A,official
2449,京元電子,0.0,1450,00991A,official
3036,文曄科技,0.0,1000,00991A,official
2912,統一超商,0.0,1000,00991A,official
2313,華通電腦,0.0,1253,00991A,official
2412,中華電信,0.0,1000,00991A,official
1216,統一企業,0.0,1000,00991A,official
